일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),전운량(10분위)
2022-07-06 17:00,32.8,,4.2,62,0.9,1.76,5
2022-07-06 18:00,32.1,,3.2,66,1,1.53,7
2022-07-06 19:00,30,,2.5,77,0.5,0.73,6
2022-07-06 20:00,29.1,,2.5,83,0,0.1,6
2022-07-06 21:00,28.6,,2.7,88,,,6
2022-07-06 22:00,28.2,,2.8,89,,,6
2022-07-06 23:00,27.8,,2.6,93,,,8
2022-07-07 0:00,28,,2.6,89,,,7
2022-07-07 1:00,27.5,,3,94,,,9
2022-07-07 2:00,27.4,,2.4,94,,,7
2022-07-07 3:00,27.4,,2.5,95,,,4
2022-07-07 4:00,27.2,,2.7,97,,,0
2022-07-07 5:00,27.2,,2.6,96,,,0
2022-07-07 6:00,27,,2.7,97,0,0.08,4
2022-07-07 7:00,27.3,,2.6,96,0.7,0.39,2
2022-07-07 8:00,29.1,,2.3,84,1,1.19,4
2022-07-07 9:00,30,,3.6,80,1,1.89,5
2022-07-07 10:00,31.3,,3.5,74,1,2.58,4
2022-07-07 11:00,32.7,,3.3,70,1,3.18,5
2022-07-07 12:00,32.4,,4,68,0.9,2.94,6
2022-07-07 13:00,31.5,,3.9,69,0.3,1.72,8
2022-07-07 14:00,30.4,,3.6,76,0,0.92,9
2022-07-07 15:00,31,,3.4,78,0,1.25,10
2022-07-07 16:00,30.5,,2.7,81,0.3,1.59,10
2022-07-07 17:00,29.7,0,2.4,86,0,0.45,10
2022-07-07 18:00,29.3,0,3.8,89,0,0.29,10
2022-07-07 19:00,28.2,0,3,98,0,0.13,10
2022-07-07 20:00,26.5,1.1,1.6,99,0,0.06,10
2022-07-07 21:00,26.9,1.6,0.8,99,,,7
2022-07-07 22:00,26.7,0,1.6,99,,,10
2022-07-07 23:00,26.2,2.2,1.5,99,,,9
2022-07-08 0:00,26.1,,1.7,99,,,6
2022-07-08 1:00,26.1,,1.5,99,,,6
2022-07-08 2:00,26,,2.3,99,,,7
2022-07-08 3:00,26,,2.6,99,,,9
2022-07-08 4:00,25.9,,2.5,99,,,9
2022-07-08 5:00,25.8,,1.2,99,,,9
2022-07-08 6:00,25.7,,1.8,99,0,0.07,7
2022-07-08 7:00,26.1,,1,99,0,0.18,9
2022-07-08 8:00,26.6,,1.5,99,0,0.32,10
2022-07-08 9:00,27.5,,1,99,0,0.55,10
2022-07-08 10:00,27.9,,1.1,98,0,0.86,10
2022-07-08 11:00,27.8,,1,98,0,0.58,8
2022-07-08 12:00,26.6,0.3,0.6,99,0,0.28,10
2022-07-08 13:00,25.8,4.5,0.5,99,0,0.37,10
2022-07-08 14:00,26.5,,0.8,99,0,0.66,7
2022-07-08 15:00,27.2,,0.8,99,0,1.1,9
2022-07-08 16:00,29.4,,1.5,92,0.4,1.71,8
2022-07-08 17:00,29.1,,1.1,83,0.4,1.22,4
2022-07-08 18:00,29.4,,1.1,81,0.7,1.07,4
2022-07-08 19:00,28.5,,0.7,81,0.4,0.53,2
2022-07-08 20:00,27.1,,0.8,93,0.1,0.12,3
2022-07-08 21:00,26,,0.4,97,,,3
2022-07-08 22:00,24.9,,0,99,,,1
2022-07-08 23:00,24.9,,1.1,99,,,0
2022-07-09 0:00,24.4,,1.5,99,,,1
2022-07-09 1:00,23.9,,2.1,99,,,
2022-07-09 2:00,24,,0.5,99,,,8
2022-07-09 3:00,23.8,,0.3,99,,,8
2022-07-09 4:00,24,,0.2,99,,,6
2022-07-09 5:00,23.9,,0.4,99,,,7
2022-07-09 6:00,23.9,,0.6,99,0,0.07,9
2022-07-09 7:00,23.8,,0.3,99,0,0.17,5
2022-07-09 8:00,24.5,,1,98,0.3,0.71,4
2022-07-09 9:00,26.3,,0.4,96,0.4,1.09,4
2022-07-09 10:00,26.7,,0.8,88,0.6,1.65,7
2022-07-09 11:00,27.6,,1.4,86,0.2,1.41,10
2022-07-09 12:00,27.7,,1.1,84,0.1,1.45,9
2022-07-09 13:00,28.1,,1.3,84,0.1,1.54,10
2022-07-09 14:00,30,,1.1,79,0.4,2.12,9
2022-07-09 15:00,30.6,,1.4,66,0.5,2.21,8
2022-07-09 16:00,30.5,,1.7,64,0.9,2.46,7
2022-07-09 17:00,30.9,,1.7,64,0.8,1.7,6
2022-07-09 18:00,30.2,,2,72,1,1.24,1
2022-07-09 19:00,28.9,,1.5,77,0.6,0.54,2
2022-07-09 20:00,28.1,,1.3,84,0,0.13,4
2022-07-09 21:00,27.8,,0.2,90,,,7
2022-07-09 22:00,27,,1.1,97,,,3
2022-07-09 23:00,26.4,,1.1,98,,,4
2022-07-10 0:00,25.4,,1.1,99,,,4
2022-07-10 1:00,25.6,,0.5,99,,,4
2022-07-10 2:00,25.4,,0.5,99,,,7
2022-07-10 3:00,24.8,,0.7,99,,,4
2022-07-10 4:00,24.5,,0,99,,,7
2022-07-10 5:00,24.6,,0.3,99,,,3
2022-07-10 6:00,24.6,,0.2,99,0,0.07,0
2022-07-10 7:00,25,,0.1,99,0.1,0.33,2
2022-07-10 8:00,26.2,,0.2,99,0.6,0.96,3
2022-07-10 9:00,27.7,,0.2,94,1,1.73,5
2022-07-10 10:00,29.5,,0.7,85,1,2.44,7
2022-07-10 11:00,29.5,,0.9,80,0.5,2.01,8
2022-07-10 12:00,30.7,,0.9,77,0.5,1.99,8
2022-07-10 13:00,32.6,,1.3,65,0.8,2.67,7
2022-07-10 14:00,32.8,,2.3,61,1,3.35,7
2022-07-10 15:00,32.6,,1.8,62,0.8,2.62,7
2022-07-10 16:00,32.6,,2,68,0.8,1.88,7
2022-07-10 17:00,31.4,,2.7,71,0.1,0.64,8
2022-07-10 18:00,30.9,,4,69,0,0.51,7
2022-07-10 19:00,29.6,,4.3,80,0,0.34,7
2022-07-10 20:00,28.5,,3.4,86,0,0.11,7
2022-07-10 21:00,28.1,,2.5,87,,,9
2022-07-10 22:00,27.5,,2.4,92,,,10
2022-07-10 23:00,27,,2.1,95,,,10
2022-07-11 0:00,26.3,0,1.4,97,,,10
2022-07-11 1:00,24.6,6.9,0.9,99,,,10
2022-07-11 2:00,25,0.4,0.4,99,,,10
2022-07-11 3:00,24.6,,0.1,99,,,10
2022-07-11 4:00,24.6,4.4,1.4,99,,,10
2022-07-11 5:00,24.4,0.6,0.9,99,,,10
2022-07-11 6:00,24.2,0.6,1.1,99,0,0.06,10
2022-07-11 7:00,24,0.5,0.5,99,0,0.09,10
2022-07-11 8:00,24.3,0.7,0.9,99,0,0.25,10
2022-07-11 9:00,25.5,0.2,0.4,99,0,0.54,9
2022-07-11 10:00,27,,1.5,99,0.4,1.42,7
2022-07-11 11:00,27.7,,2,98,0.2,1.64,9
2022-07-11 12:00,28.1,,0.3,90,0.1,1.41,9
2022-07-11 13:00,29.8,,0.4,75,0.4,2.14,9
2022-07-11 14:00,30.1,,0.9,74,0.5,2.29,7
2022-07-11 15:00,29.6,,1.2,79,0.2,1.4,8
2022-07-11 16:00,29.2,0,2.2,84,0.1,0.62,10
2022-07-11 17:00,29.6,,1.9,82,0,0.53,9
2022-07-11 18:00,30.2,,1.2,78,0.5,1.14,6
2022-07-11 19:00,28.8,,0.2,89,0.2,0.37,2
2022-07-11 20:00,28,,0.1,96,0,0.13,5
2022-07-11 21:00,27.5,,1,98,,,5
2022-07-11 22:00,27.3,,0.9,98,,,5
2022-07-11 23:00,27,,0.4,99,,,5
2022-07-12 0:00,27,,1.1,98,,,6
2022-07-12 1:00,26.7,,1.3,99,,,6
2022-07-12 2:00,26.3,,0.8,99,,,3
2022-07-12 3:00,26.2,,1,99,,,8
2022-07-12 4:00,25.9,,0.6,99,,,6
2022-07-12 5:00,26,,0.9,99,,,7
2022-07-12 6:00,25.8,,0.7,99,0,0.08,7
